Speed,Feed,XRMS,YRMS,ZRMS
869.493633191797,618.780680009527,-6.27996297845615,-188.990647526919,25.3545249930371
1345.37687247869,956.651526063984,-113.949104917212,189.125466527941,-31.0789118665638
1671.40906910478,1093.00667377794,-182.146317689748,-107.511857481446,-21.4020495402636
2111.54751689711,1342.57373080709,160.349379647686,91.8041556569767,72.4801834078879
2547.63348847517,1652.35576054657,40.1653505117471,62.1714997394809,-102.706376417869
3001.18978875745,1984.90586834257,4.08915030029098,-177.957296733725,33.1363412705885
3189.52169769421,2206.19955840809,-38.1614205605171,57.9742000708237,-40.8399333436228
3407.79426508015,2498.93701150964,90.8894927664145,-14.1680239765756,16.3577203715023
3752.02464582493,2612.11316995887,73.3394348404088,175.23262928018,-74.3664103906445
3933.92352603093,2724.38536529633,-119.364621266427,-61.2411319563357,-177.438579302951
4471.35818648215,2999.60300950315,-118.766895457528,52.6794067829286,132.835799238102
4861.14244668798,3238.25967662887,131.548537282063,113.71572889095,121.798224710765
5026.95887558021,3423.0636599581,-135.991808183487,-44.0108747426471,-69.4108208033307
5191.26615211892,3738.03987309245,-40.1205177605713,133.328075862177,-89.6746169261982
5374.42132910919,4069.43981054679,-25.4825963757386,-124.553564714526,-121.750197336893
5792.93908942162,4174.21726415596,64.9327212315671,-63.4620898698745,-134.60525662387
6230.13246258727,4446.29083790178,-134.669717743373,199.481282569226,45.7016808193651
6584.84084591495,4606.65969956045,109.159172656554,125.138400832721,119.375806450553
7018.23785713326,4950.73574970045,177.173763875465,64.033751312659,0.541291479273383
7249.39626010572,5000,-82.6496904169441,44.6434500835107,-88.6736869293608
